song_name,first_position,first_credit,second_position,second_credit,third_position,third_credit,fourth_position,fourth_credit
Maan Karate - Maanja Video,"Dhanush, Shruti",male and female actor,Miya George,female actor,Jonita Gandhi,female playback singer,,
3 - Idhazhin Oram Video,"Sivakarthikeyan, Priya Anand",male and female actor,"Sivakarthikeyan, Keerthi Suresh",male and female actor,Ajay Gnanamuthu,movie director,,
Vanakkam Chennai - Osaka Osaka Video,Sivakarthikeyan,male actor,Dhanush,male actor,Vadivelu,male actor,,
Ethir Neechal - Boomi Enna Suthudhe Video,"Dhanush, Shruti",male and female actor,Anirudh Ravichander,music director,Gautham Karthik,male actor,,
3 - Why This Kolaveri Di Making Video,"Dhanush, Kajal Agarwal",male and female actor,Yuvan Shankar Raja,music director,Ajay Gnanamuthu,movie director,,
Maari - Thappa Dhaan Theriyum Video,Anirudh Ravichander,music director,Dhibu Ninan Thomas,music director,Vadivelu,male actor,,
Thangamagan - Jodi Nilave Video,Sivakarthikeyan,male actor,Anirudh Ravichander,music director,Vadivelu,male actor,,
Remo - Meesa Beauty Tamil Video,Anirudh Ravichander,music director,Anirudh Ravichander,music director,Gautham Karthik,male actor,,
Avalukena - Song Video,Anirudh Ravichander,music director,Anirudh Ravichander,music director,Gautham Karthik,male actor,,
Thangamagan - Oh Oh Video,Anirudh Ravichander,music director,Dhibu Ninan Thomas,music director,Shankar,male actor,,
Maan Karate - Open the Tasmac Video,Anirudh Ravichander,music director,Vijay Sethupathi,male actor,Shankar,male actor,,
Rum - Kadavulae Vidai Tamil Video,Anirudh Ravichander,music director,D. Imman,music director,Super Hit Song,,,
Remo - Sirikkadhey Music Video,Anirudh Ravichander,music director,Anirudh Ravichander,music director,A.R Murugadoss,movie director,,
Rum - Alladhe Siragiye Official Tamil Song Video,Anirudh Ravichander,music director,Anirudh Ravichander,music director,Latest Hit,,,
Onnume Aagala - Lyric Video,Anirudh Ravichander,music director,A.R. Rahman,music director,Ajay Gnanamuthu,movie director,,
Thangamagan - Tak Bak Video,Anirudh Ravichander,music director,Santhosh Narayanan,music director,Ajay Gnanamuthu,movie director,,
Rum - Peiyophobilia Official Tamil Song Video,"Shiva, Priya Anand",male and female actor,Hip Hop Tamizha,music director,Ajay Gnanamuthu,movie director,,
Vanakkam Chennai - Engadi Porandha Video,Santhanam,male actor,Yuvan Shankar Raja,music director,Gautham Karthik,male actor,,
Dikkiloona - Per Vachaalum Vaikkaama Video,"AishwaryaRajesh, Sivakarthikeyan",male and female actor,D. Imman,music director,Anirudh Ravichander,music director,,
Kanaa - Vaayadi Petha Pulla Lyric,"Dhanush, Kajal",male and female actor,"Vikram, Amy Jackson",male and female actor,Lokesh Kanagaraj,movie director,,
Maari - Don’u Don’u Don’u Video,Vijay,male actor,Vikram,male actor,Nelson Dilipkumar,movie director,,
Master - Vaathi Coming Lyric,Sivakarthikeyan,male actor,"Vikram, Amy Jackson",male and female actor,Vignesh Shivan,music director,,
Doctor - Chellamma Lyric,Arunraja Kamaraj,movie director,Harris Jayaraj,music director,Super Hit Song,,,
Kanaa - Othaiyadi Pathayila Video,D. Imman,music director,A R Rahman,music director,Latest Hit Song,,,
Rummy - Koodamela Koodavechi Video,"Sivakarthikeyan, Keethi Suresh",male and female actor,Suriya,male actor,Latest Hit Song,,,
Rajinimurugan - Un Mele Oru Kannu Video,Vijay,male actor,Anirudh Ravichander,music director,Maalavika,female playback singer,,
Master - Kutti Story Lyric,Vijay,male actor,A.R. Rahman,music director,,,,
Master - Kutti Story Video,Vivek - Mervin,music director,Hip Hop Tamizha,music director,,,,
7UP Madras Gig -  Orasaadha,"Vijay, Kajal Aggarwal",male and female actor,Latest Hit,,,,,
Mersal - Maacho Tamil Video,Dhanush,male actor,Harris Jayaraj,music director,,,,
Jagame Thandhiram - Rakita Rakita Rakita Lyric,"Jayam Ravi, Nayanthara",male and female actor,Anirudh Ravichander,music director,,,,
Thani Oruvan - Kannala Kannala Video,Vishal,male actor,Harris Jayaraj,music director,,,,
Sandakozhi 2 - Kambathu Ponnu Tamil Video,"Jayam Ravi, Hansika",male and female actor,Suriya,male actor,,,,
Bogan - Senthoora Video,A.R. Rahman,music director,D. Imman,music director,,,,
I - Mersalaayitten Video,A.R. Rahman,music director,Tamil,,,,,
I - Pookkalae Sattru Oyivedungal Video,A.R. Rahman,music director,Udhayanidhi Stalin,male actor,,,,
I - Ennodu Nee Irundhaal Video,Ajith Kumar,male actor,Ilaiyaraaja,music director,,,,
Yennai Arindhaal - Unakkenna Venum Sollu Video,"Vijay, Samantha",male and female actor,A. R Rahman,music director,,,,
Mersal - Neethanae Tamil Lyric Video,Harris Jayaraj,music director,Udhayanidhi Stalin,male actor,,,,
Vaaranam Aayiram - Nenjukkul Peidhidum Video,Sivakarthikeyan,male actor,"Prashanth, Simran, Priya Anand",male and female actor,,,,
Remo - Senjitaley Video,"Vijay, Samantha",male and female actor,Yuvan Shankar Raja,music director,,,,
Mersal - Neethanae Tamil Video,"Jayam Ravi, Nayanthara",male and female actor,Udhayanidhi Stalin,male actor,,,,
