Year,Name,Debut film,Other notable films
1994,Prakash Raj,Duet,"Iruvar (1997), Ghilli (2004), Kanchivaram (2009)"
1994,Prabhu Deva,Indhu,"Kaadhalan (1994), Minsara Kanavu (1997), Ullam Kollai Poguthae (2001)"
1994,Karan,Nammavar,"Raman Abdullah (1997), Color Kanavugal (1998), Kokki (2006)"
1995,Arun Vijay,Murai Mappillai,"Pandavar Bhoomi (2001), Thadaiyara Thaakka (2012), Yennai Arindhaal (2015)"
1996,Abbas,Kadhal Desam,"V.I.P. (1997), Kandukondain Kandukondain (2000), Aanandham (2001)"
1997,Suriya,Nerukku Ner,"Kaakha Kaakha (2003), Ghajini (2005), Vaaranam Aayiram (2008)"
1997,Mohanlal,Iruvar,"Pop Corn (2003), Jilla (2014), Kaappan (2019)"
1999,Kunal,Kadhalar Dhinam,"Paarvai Ondre Podhume (2001), Punnagai Desam (2002), Super Da (2004)"
1999,Manoj Bharathiraja,Taj Mahal,"Samudhiram (2001), Alli Arjuna (2002), Annakodi (2013)"
1999,Hamsavardhan,Maanaseega Kadhal,"Vadagupatti Maapillai (2001), Junior Senior (2002), Manthiran (2005)"
1999,Jai Akash,Rojavanam,"Roja Kootam (2002), Inidhu Inidhu Kadhal Inidhu (2003), Amudhae (2005)"
2000,Madhavan,Alaipayuthey,"Minnale (2001), Kannathil Muthamittal (2002), Irudhi Suttru (2016)"
2001,Raghava Lawrence,Parthale Paravasam,"Muni (2007), Muni 2: Kanchana (2011), Kanchana 2 (2015)"
2001,Shaam,12B,"Lesa Lesa (2003), Iyarkai (2003), Ullam Ketkumae (2005)"
2002,Dhanush,Thulluvadho Ilamai,"Aadukalam (2011), Velaiilla Pattadhari (2014), Asuran (2019)"
2002,Jeevan,University,"Kaaka Kaaka (2003), Thiruttu Payale (2006), Naan Avanillai (2007)"
2002,Prasanna,Five Star,"Azhagiya Theeye (2004), Kanda Naal Mudhal (2005), Kalyana Samayal Saadham (2013)"
2002,Cheran,Solla Marandha Kadhai,"Autograph (2004), Thavamai Thavamirundhu (2005), Yuddham Sei (2011)"
2002,Silambarasan,Kadhal Azhivathillai,"Manmadhan (2004), Vallavan (2006), Vinnaithaandi Varuvaayaa (2011)"
2002,Srikanth,Roja Kootam,"Parthiban Kanavu (2003), Kana Kandaen (2005), Nanban (2012)"
2002,Nandha,Mounam Pesiyadhe,"Eeram (2009), Anandhapurathu Veedu (2010), Vellore Maavattam (2011)"
2002,Richard,Kadhal Virus,"Naalai (2006), Pen Singam (2010), Ninaithathu Yaaro (2014)"
2002,Ramana,Style,"Meesai Madhavan (2005), Ajantha (2009), Meaghamann (2014)"
2003,Jiiva,Aasai Aasaiyai,"Raam (2005), Kattradhu Thamizh (2007), Ko (2011)"
2003,Sibi Sathyaraj,Student Number 1,"Lee (2007), Naaigal Jaakirathai (2014), Sathya (2017)"
2003,Jayam Ravi,Jayam,"M. Kumaran Son of Mahalakshmi (2004), Peranmai (2009), Thani Oruvan (2015)"
2003,Siddharth,Boys,"Aaytha Ezhuthu (2004), Kadhalil Sodhappuvadhu Yeppadi (2012), Kaaviya Thalaivan (2014)"
2003,Bharath,Boys,"Kaadhal (2004), Em Magan (2006), Veyyil (2006)"
2003,Nakul,Boys,"Kadhalil Vizhunthen (2008), Maasilamani (2009), Tamiluku En Ondrai Aluthavum (2015)"
2004,S. J. Surya,New,"Isai (2015), Mersal (2017), Monster (2019)"
2004,Vishal,Chellamae,"Sandakozhi (2005), Avan Ivan (2011), Thupparivaalan (2017)"
2004,Karthik Kumar,Vaanam Vasappadum,"Kanda Naal Mudhal (2005), Poi Solla Porom (2008), Pasanga 2 (2015)"
2004,Ravi Krishna,7G Rainbow Colony,"Sukran (2005), Kedi (2006), Aaranya Kaandam (2011)"
2004,Santhanam,Manmadhan,"Arai En 305-il Kadavul (2008), Boss Engira Bhaskaran (2010), Kanna Laddu Thinna Aasaiya (2013)"
2005,Jithan Ramesh,Jithan,"Jerry (2006), Madurai Veeran (2007), Osthe (2012)"
2005,Vikranth,Karka Kasadara,"Pandianadu (2013), Thakka Thakka (2015), Thondan (2017)"
2005,Prithviraj,Kana Kandaen,"Mozhi (2007), Raavanan (2010), Kaaviya Thalaivan (2014)"
2005,Navdeep,Arinthum Ariyamalum,"Nenjil Jil Jil (2006), A Aa E Ee (2009), Solla Solla Inikkum (2009)"
2005,Arya,Arinthum Ariyamalum,"Naan Kadavul (2009), Boss Engira Bhaskaran (2010), Sarpatta Parambarai (2021)"
2006,Narain,Chithiram Pesuthadi,"Pallikoodam (2007), Anjathe (2008), Mugamoodi (2012)"
2006,Natty,Naalai,"Muthukku Muthaaga (2011), Sathuranga Vettai (2014), Richie (2017)"
2006,Sundar C.,Thalai Nagaram,"Veerappu (2007), Sandai (2008), Aranmanai (2014)"
2006,Vishnu Priyan,Ilakkanam,"Kadhal Meipada (2011), Arya Surya (2013), Angali Pangali (2016)"
2007,Ashok Kumar,Muruga,"Pidichirukku (2008), Kadhal Solla Aasai (2014), Gangs of Madras (2018)"
2007,Karthi,Paruthiveeran,"Paiyaa (2010), Madras (2014), Theeran Adhigaaram Ondru (2017)"
2007,Vinay,Unnale Unnale,"Jayamkondaan (2008), Aranmanai (2014), Doctor (2021)"
2007,Jai,Chennai 600028,"Subramaniapuram (2008), Engaeyum Eppothum (2011), Raja Rani (2013)"
2007,Shiva,Chennai 600028,"Thamizh Padam (2010), Kalakalappu (2012), Vanakkam Chennai (2013)"
2007,Vijay Vasanth,Chennai 600028,"Naadodigal (2009), Ennamo Nadakkudhu (2014), Chennai 600028 II (2016)"
2007,Shakthi Vasudevan,Thottal Poo Malarum,"Mahesh, Saranya Matrum Palar (2008), Ninaithale Inikkum (2009), Shivalinga (2017)"
2007,Kishore,Polladhavan,"Aadukalam (2011), Haridas (2013), Visaranai (2016)"
2007,Aadhi,Mirugam,"Eeram (2009), Aravaan (2012), Maragadha Naanayam (2017)"
2007,Naveen Chandra,Pazhaniappa Kalloori,"Koottam (2014), Sarabham (2014), Sivappu (2015)"
2008,Ajmal Ameer,Anjathe,"TN 07 AL 4777 (2009), Ko (2011), Karuppampatti (2013)"
2008,Sathya,Valluvan Vasuki,"Sirithal Rasipen (2009), Nellu (2010), Maharaja (2011)"
2008,Samuthirakani,Subramaniapuram,"Visaranai (2016), Appa (2016), Thondan (2017)"
2008,Sasikumar,Subramaniapuram,"Naadodigal (2009), Sundarapandian (2012), Tharai Thappattai (2016)"
2008,Vaibhav,Saroja,"Mankatha (2011), Kappal (2014), Meyaadha Maan (2017)"
2008,Kreshna,Alibhabha,"Kazhugu (2012), Yaamirukka Bayamey (2014), Pandigai (2017)"
2008,Shanthanu Bhagyaraj,Sakkarakatti,"Siddu +2 (2010), Kandaen (2011), Koditta Idangalai Nirappuga (2017)"
2008,Ganesh Venkatraman,Abhiyum Naanum,"Unnaipol Oruvan (2009), Theeya Velai Seiyyanum Kumaru (2013), Thani Oruvan (2015)"
2009,Sharwanand,Kadhalna Summa Illai,"Engeyum Eppodhum (2011), JK Enum Nanbanin Vaazhkai (2015), Kanam (2022)"
2009,Vishnu Vishal,Vennila Kabadi Kuzhu,"Neerparavai (2012), Jeeva (2014), Indru Netru Naalai (2015), Ratsasan (2018)"
2009,Vimal,Pasanga,"Kalavani (2010), Kalakalappu (2012), Manjapai (2014)"
2010,Aari,Rettaisuzhi,"Maalai Pozhudhin Mayakathilaey (2012), Nedunchaalai (2014), Maya (2015)"
2010,Mahesh,Angadi Theru,"Yasakhan (2014), Buddhanin Sirippu (2015), Vattakara (2022)"
2010,Atharvaa,Baana Kaathadi,"Muppozhudhum Un Karpanaigal (2012), Paradesi (2013), Kanithan (2016)"
2010,Rahul Ravindran,Moscowin Kavery,"Vinmeengal (2012), Vanakkam Chennai (2013), U Turn (2018)"
2010,Arulnithi,Vamsam,"Mouna Guru (2011), Demonte Colony (2015), Brindavanam (2017)"
2010,Harish Kalyan,Sindhu Samaveli,"Poriyaalan (2014), Pyaar Prema Kaadhal (2017), Dharala Prabhu (2020)"
2010,Vidharth,Thottupaar,"Mynaa (2010), Kuttrame Thandanai (2016), Kurangu Bommai (2017)"
2010,Rathan Mouli,Unnaiye Kadhalipen,"13 aam Pakkam Parkka (2015), Vellikizhamai 13am Thethi (2016), Arasakulam (2017)"
2010,Vijay Sethupathi,Thenmerku Paruvakaatru,"Pizza (2012), Naanum Rowdy Dhaan (2015), Vikram Vedha (2017)"
2011,Ashwin Kakumanu,Nadunisi Naaygal,"Mankatha (2011), Idharkuthane Aasaipattai Balakumara (2013), Zero (2016)"
2012,Sivakarthikeyan,Marina,"Ethir Neechal (2013), Varuthapadatha Valibar Sangam (2013), Remo (2016)"
2012,Vivek Rajgopal,Naanga,"Oru Modhal Oru Kadhal (2014), Echcharikkai (2018), Jasper (2022)"
2012,Karunakaran[2],Kalakalappu,"Soodhu Kavvum (2013), Yaamirukka Bayamey (2014), Uppu Karuvaadu (2015)"
2012,Sri,Vazhakku Enn 18/9,"Onaayum Aatukuttiyum (2013), Vil Ambu (2016), Maanagaram (2017)"
2012,Udhayanidhi Stalin,Oru Kal Oru Kannadi,"Idhu Kathirvelan Kadhal (2014), Nannbenda (2015), Manithan (2016)"
2012,Dinesh,Attakathi,"Cuckoo (2014), Thirudan Police (2014), Visaranai (2016)"
2012,Vijay Antony,Naan,"Salim (2014), Pichaikkaran (2016), Yaman (2017)"
2012,Vikram Prabhu,Kumki,"Ivan Veramathiri (2013), Arima Nambi (2014), Sigaram Thodu (2014)"
2013,Gautham Karthik,Kadal,"Vai Raja Vai (2015), Rangoon (2017), Hara Hara Mahadevaki (2017)"
2013,Ashok Selvan,Soodhu Kavvum,"Pizza 2: The Villa (2013), Thegidi (2014), Kootathil Oruthan (2017)"
2013,Bobby Simha,Soodhu Kavvum,"Jigarthanda (2014), Ko 2 (2016), Iraivi (2016)"
2013,Sundeep Kishan,Yaaruda Mahesh,"Maanagaram (2017), Nenjil Thunivirundhal (2017), Maayavan (2017)"
2013,RJ Balaji,Theeya Velai Seiyyanum Kumaru,"LKG (2019), Mookuthi Amman (2020), Veetla Vishesham (2022)"
2013,Rana Daggubati,Arrambam,"Baahubali: The Beginning (2015), Bangalore Naatkal (2016), Kaadan (2021)"
2013,Kathir[3],Madha Yaanai Koottam,"Vikram Vedha (2017), Pariyerum Perumal (2018), Bigil (2019)"
2014,Dulquer Salmaan,Vaayai Moodi Pesavum,"O Kadhal Kanmani (2015), Kannum Kannum Kollaiyadithaal (2020), Hey Sinamika (2022)"
2014,Santhosh Prathap,Kathai Thiraikathai Vasanam Iyakkam,"Dhayam (2017), Pancharaaksharam (2019), Sarpatta Parambarai (2021)"
2014,Kalaiyarasan,Madras,"Kabali (2016), Adhe Kangal (2017), Jagame Thandhiram (2021)"
2015,G. V. Prakash Kumar[4],Darling,"Trisha Illana Nayanthara (2015), Pencil (2016), Sarvam Thaala Mayam (2019)"
2015,Dhruvva,Thilagar,"Kadhal Kasakuthaiya (2017), Marainthirunthu Paarkum Marmam Enna (2018), Devadas Brothers (2021)"
2015,Linga,Chennai Ungalai Anbudan Varaverkirathu,"Penguin (2020), Parole (2022), Udanpaal (2022)"
2016,R. K. Suresh,Tharai Thappattai,"Billa Pandi (2018), Vettai Naai (2021), Visithiran (2022)"
2016,Gokul Anand,Maalai Nerathu Mayakkam,"Chennai 2 Singapore (2017), Pancharaaksharam (2019), Theeviram (2020)"
2016,R. S. Karthiik,Achcham Yenbadhu Madamaiyada,"Peechankai (2017), Yennanga Sir Unga Sattam (2021), Parole"
2016,Kalidas Jayaram,Meen Kuzhambum Mann Paanaiyum,"Putham Pudhu Kaalai (2020), Oru Pakka Kathai (2020), Natchathiram Nagargiradhu (2022)"
2017,Vetri,8 Thottakkal,"Jiivi (2019), C/O Kaadhal (2021), Jiivi 2 (2022)"
2017,Hiphop Tamizha Adhi,Meesaya Murukku,"Natpe Thunai (2019), Naan Sirithal (2020), Anbarivu (2022)"
